STATE_NAME_2011,SSC_NAME_2011,POA_CODE_2011,"POA_NAME_2011 (contains notes, see bottom)"
New South Wales,Broulee,2537,2537
New South Wales,Tomakin,2537,2537
New South Wales,Mossy Point,2537,2537
New South Wales,Nerrigundah,2545,2545
New South Wales,Eden,2551,2551
New South Wales,Boydtown,2551,2551
New South Wales,Durras North,2536,2536
New South Wales,Deua River Valley,2536,2536
New South Wales,Mogo (Eurobodalla - NSW),2536,2536
New South Wales,Jeremadra,2536,2536
New South Wales,Mogendoura,2537,2537
New South Wales,Turlinjah,2537,2537
New South Wales,Bodalla,2545,2545
New South Wales,Potato Point,2545,2545
New South Wales,Eurobodalla,2545,2545
New South Wales,Nelligen,2536,2536
New South Wales,South Durras,2536,2536
New South Wales,Pambula Beach,2549,2549
New South Wales,Merimbula,2548,2548
New South Wales,Tura Beach,2548,2548
New South Wales,South Pambula,2549,2549
New South Wales,Pambula,2549,2549
New South Wales,Bald Hills (NSW),2549,2549
New South Wales,Millingandi,2549,2549
New South Wales,Berrambool,2548,2548
New South Wales,Tuross Head,2537,2537
New South Wales,Moruya,2537,2537
New South Wales,Moruya Heads,2537,2537
New South Wales,Bergalia,2537,2537
New South Wales,Congo,2537,2537
New South Wales,Bingie,2537,2537
New South Wales,Bermagui,2546,2546
New South Wales,Narooma,2546,2546
New South Wales,Dalmeny,2546,2546
New South Wales,Wallaga Lake,2546,2546
New South Wales,Central Tilba,2546,2546
New South Wales,Kianga (NSW),2546,2546
New South Wales,Akolele,2546,2546
New South Wales,Mystery Bay,2546,2546
New South Wales,North Narooma,2546,2546
New South Wales,Avoca Beach,2251,2251
New South Wales,Copacabana,2251,2251
New South Wales,Killcare Heights,2257,2257
New South Wales,Macmasters Beach,2251,2251
New South Wales,Empire Bay,2257,2257
New South Wales,Wagstaffe,2257,2257
New South Wales,St Huberts Island,2257,2257
New South Wales,Killcare,2257,2257
New South Wales,Bensville,2251,2251
New South Wales,Daleys Point,2257,2257
New South Wales,Bouddi,2251,2251
New South Wales,Box Head,2257,2257
New South Wales,Pretty Beach (Gosford - NSW),2257,2257
New South Wales,Kincumber South,2251,2251
New South Wales,Somersby,2250,2250
New South Wales,Little Wobby,2256,2256
New South Wales,Peats Ridge,2250,2250
New South Wales,Central Mangrove,2250,2250
New South Wales,Mangrove Mountain,2250,2250
New South Wales,Kulnura,2250,2250
New South Wales,Bar Point,2250,2250
New South Wales,Spencer,2775,2775
New South Wales,Mooney Mooney,2083,2083
New South Wales,Erina,2250,2250
New South Wales,Green Point (Gosford - NSW),2251,2251
New South Wales,Matcham,2250,2250
New South Wales,Holgate,2250,2250
New South Wales,Erina Heights,2260,2260
New South Wales,Springfield (Gosford - NSW),2250,2250
New South Wales,North Gosford,2250,2250
New South Wales,West Gosford,2250,2250
New South Wales,Gosford,2250,2250
New South Wales,East Gosford,2250,2250
New South Wales,Point Frederick,2250,2250
New South Wales,Kariong,2250,2250
New South Wales,Kincumber,2251,2251
New South Wales,Picketts Valley,2251,2251
New South Wales,Narara,2250,2250
New South Wales,Lisarow,2250,2250
New South Wales,Niagara Park,2250,2250
New South Wales,Mount Elliot (NSW),2250,2250
New South Wales,Point Clare,2250,2250
New South Wales,Tascott,2250,2250
New South Wales,Koolewong,2256,2256
New South Wales,Saratoga,2251,2251
New South Wales,Davistown,2251,2251
New South Wales,Yattalunga (NSW),2251,2251
New South Wales,North Avoca,2260,2260
New South Wales,Terrigal,2260,2260
New South Wales,Umina Beach,2257,2257
New South Wales,Ettalong Beach,2257,2257
New South Wales,Booker Bay,2257,2257
New South Wales,Patonga,2256,2256
New South Wales,Pearl Beach,2256,2256
New South Wales,Wamberal,2260,2260
New South Wales,Forresters Beach,2260,2260
New South Wales,Tumbi Umbi,2261,2261
New South Wales,Woy Woy,2256,2256
New South Wales,Horsfield Bay,2256,2256
New South Wales,Phegans Bay,2256,2256
New South Wales,Woy Woy Bay,2256,2256
New South Wales,Blackwall (NSW),2256,2256
New South Wales,Wyoming,2250,2250
New South Wales,Bateau Bay,2261,2261
New South Wales,Killarney Vale,2261,2261
New South Wales,Blue Haven,2262,2262
New South Wales,San Remo (NSW),2262,2262
New South Wales,Doyalson,2262,2262
New South Wales,Colongra,2262,2262
New South Wales,Buff Point,2262,2262
New South Wales,Budgewoi,2262,2262
New South Wales,Halekulani,2262,2262
New South Wales,Budgewoi Peninsula,2262,2262
New South Wales,Glenning Valley,2261,2261
New South Wales,Berkeley Vale,2261,2261
New South Wales,Chittaway Point,2261,2261
New South Wales,Chittaway Bay,2261,2261
New South Wales,Kanwal,2259,2259
New South Wales,Wyongah,2259,2259
New South Wales,Tuggerawong,2259,2259
New South Wales,Rocky Point (NSW),2259,2259
New South Wales,Gorokan,2263,2263
New South Wales,Charmhaven,2263,2263
New South Wales,Lake Haven,2263,2263
New South Wales,Jilliby,2259,2259
New South Wales,Yarramalong,2259,2259
New South Wales,Wyong Creek,2259,2259
New South Wales,Ravensdale,2259,2259
New South Wales,Dooralong,2259,2259
New South Wales,Lake Munmorah,2259,2259
New South Wales,Chain Valley Bay,2259,2259
New South Wales,Mannering Park,2259,2259
New South Wales,Wybung,2259,2259
New South Wales,Doyalson North,2262,2262
New South Wales,Ourimbah,2258,2258
New South Wales,Fountaindale,2258,2258
New South Wales,Gwandalan,2259,2259
New South Wales,Summerland Point,2259,2259
New South Wales,Crangan Bay,2259,2259
New South Wales,Point Wolstoncroft,2259,2259
New South Wales,Long Jetty,2261,2261
New South Wales,Shelly Beach (NSW),2261,2261
New South Wales,Blue Bay,2261,2261
New South Wales,Toowoon Bay,2261,2261
New South Wales,The Entrance North,2261,2261
New South Wales,Magenta (NSW),2261,2261
New South Wales,The Entrance,2261,2261
New South Wales,Toukley,2263,2263
New South Wales,Canton Beach,2263,2263
New South Wales,Noraville,2263,2263
New South Wales,Norah Head,2263,2263
New South Wales,Kangy Angy,2258,2258
New South Wales,Tuggerah,2259,2259
New South Wales,Mardi,2259,2259
New South Wales,Tacoma South,2259,2259
New South Wales,Hamlyn Terrace,2259,2259
New South Wales,Woongarrah,2259,2259
New South Wales,Warnervale,2259,2259
New South Wales,Wadalba,2259,2259
New South Wales,Wallarah,2259,2259
New South Wales,Watanobbi,2259,2259
New South Wales,Wyong,2259,2259
New South Wales,Tacoma,2259,2259
New South Wales,Llanarth (NSW),2795,2795
New South Wales,Robin Hill,2795,2795
New South Wales,South Bathurst,2795,2795
New South Wales,Bathurst,2795,2795
New South Wales,West Bathurst,2795,2795
New South Wales,Mitchell (NSW),2795,2795
New South Wales,Gormans Hill,2795,2795
New South Wales,Abercrombie,2795,2795
New South Wales,Eglinton (NSW),2795,2795
New South Wales,Windradyne,2795,2795
New South Wales,Raglan (NSW),2795,2795
New South Wales,White Rock (NSW),2795,2795
New South Wales,Kelso (NSW),2795,2795
New South Wales,Fosters Valley,2795,2795
New South Wales,Brewongle,2795,2795
New South Wales,Trunkey Creek,2795,2795
New South Wales,Perthville,2795,2795
New South Wales,Wattle Flat (NSW),2795,2795
New South Wales,Peel,2795,2795
New South Wales,Rockley,2795,2795
New South Wales,Georges Plains,2795,2795
New South Wales,Hill End (NSW),2795,2795
New South Wales,Billywillinga,2795,2795
New South Wales,Mount Rankin,2795,2795
New South Wales,Rock Forest,2795,2795
New South Wales,Evans Plains,2795,2795
New South Wales,The Lagoon,2795,2795
New South Wales,O'Connell (NSW),2795,2795
New South Wales,Sunny Corner,2795,2795
New South Wales,Napoleon Reef,2795,2795
New South Wales,Yetholme,2795,2795
New South Wales,Kirkconnell,2795,2795
New South Wales,Oberon,2787,2787
New South Wales,Edith (NSW),2787,2787
New South Wales,Burraga,2795,2795
New South Wales,Black Springs (NSW),2787,2787
New South Wales,Porters Retreat,2787,2787
New South Wales,Duckmaloi,2787,2787
New South Wales,Condobolin,2877,2877
New South Wales,Tullamore,2874,2874
New South Wales,Lake Cargelligo,2672,2672
New South Wales,Tullibigeal,2669,2669
New South Wales,Ootha,2875,2875
New South Wales,Fifield,2875,2875
New South Wales,Tottenham (NSW),2873,2873
New South Wales,Cowra,2794,2794
New South Wales,Canowindra,2804,2804
New South Wales,Woodstock (Cowra - NSW),2793,2793
New South Wales,Gooloogong,2805,2805
New South Wales,Wattamondara,2794,2794
New South Wales,Darbys Falls,2793,2793
New South Wales,Wyangala,2808,2808
New South Wales,Moorbel,2804,2804
New South Wales,Forbes (NSW),2871,2871
New South Wales,Eugowra,2806,2806
New South Wales,Grawlin,2871,2871
New South Wales,Bundaburrah,2871,2871
New South Wales,Jemalong,2871,2871
New South Wales,Calarie,2871,2871
New South Wales,Bedgerebong,2871,2871
New South Wales,Grenfell,2810,2810
New South Wales,Warraderry,2810,2810
New South Wales,Greenethorpe,2809,2809
New South Wales,Quandialla,2721,2721
New South Wales,Caragabal,2810,2810
New South Wales,Parkes (NSW),2870,2870
New South Wales,Cookamidgera,2870,2870
New South Wales,Peak Hill (NSW),2869,2869
New South Wales,Trundle,2875,2875
New South Wales,Bogan Gate,2876,2876
New South Wales,Cooks Myalls,2870,2870
New South Wales,Goonumbla,2870,2870
New South Wales,West Wyalong,2671,2671
New South Wales,Wyalong,2671,2671
New South Wales,Girral,2669,2669
New South Wales,Naradhan,2669,2669
New South Wales,Weethalle,2669,2669
New South Wales,Tallimba,2669,2669
New South Wales,Mirrool,2665,2665
New South Wales,Barmedman,2668,2668
New South Wales,Ungarie,2669,2669
New South Wales,South Bowenfels,2790,2790
New South Wales,Marrangaroo,2790,2790
